date:2022-08-02 17:18:06	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:The following profiles are active: native
date:2022-08-02 17:18:24	thread:RMI TCP Connection(9)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-08-02 17:18:24	thread:RMI TCP Connection(9)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-08-02 17:18:24	thread:RMI TCP Connection(9)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 103 ms
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/admin/sysurl/querySysUrl?currentPage=1&pageSize=10&sorter=createTime_descend", parameters={masked}
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.admin.service.impl.SysUrlServiceImpl.querySysUrl]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148158
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148539
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148580
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148620
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148678
