date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] to manual commit
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20]
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] after transaction
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/account/sysuserdetail/queryCurrentAuthority?username=admin", parameters={masked}
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.getRoleCodeBySysUser]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] for JDBC transaction
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] to manual commit
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.getRoleCodeBySysUser	msg:==>  Preparing: SELECT msr.role_code AS "roleCode" FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND (msu.username = ? OR msu.mobile = ?)
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.getRoleCodeBySysUser	msg:==> Parameters: admin(String), null
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.getRoleCodeBySysUser	msg:<==      Total: 2
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20]
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] after transaction
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.querySysMenuAuthorityTree]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] for JDBC transaction
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] to manual commit
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.S.querySysMenuAuthorityTree             	msg:==>  Preparing: SELECT CAST(id AS CHAR) AS "id",menu_path AS "path",menu_component AS "component",menu_code AS "name",menu_icon AS "icon",(CASE WHEN menu_status = 0 THEN 1 ELSE 0 END) AS "hideInMenu",CAST(parent_id AS CHAR) AS "parentId" FROM mscode_sys_menu WHERE id IN (SELECT menu_id FROM mscode_sys_role_menu mrm WHERE EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.id = mrm.role_id AND (msu.username = ? OR msu.mobile = ?))) ORDER BY menu_sequence ASC
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.S.querySysMenuAuthorityTree             	msg:==> Parameters: admin(String), null
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.S.querySysMenuAuthorityTree             	msg:<==      Total: 90
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20]
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] after transaction
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.queryRoleMenuButton]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] for JDBC transaction
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] to manual commit
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.queryRoleMenuButton 	msg:==>  Preparing: SELECT mrm.menu_button AS "menuButton" FROM mscode_sys_role_menubutton mrm WHERE EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.role_code = mrm.role_code AND (msu.username = ? OR msu.mobile = ?))
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.queryRoleMenuButton 	msg:==> Parameters: admin(String), null
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.queryRoleMenuButton 	msg:<==      Total: 0
date:2022-08-02 17:19:40	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
